"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"3236","Десятый блин","Великий Новгород","Открытый Фестиваль интеллектуальных игр ""Десятый блин""","2015-05-23 13:00:00","2015-05-24 16:00:00","6","12","","72","Обычный","2500","0","","","","",NA,NA
"4833","Беларускае люстэрка. Дзень другi.","","Беларускае люстэрка - зеркало чемпионата Беларуси-2018. День второй.","2018-03-30 19:00:00","2018-04-03 19:00:00","3","12","","36","Синхрон","6","0","Школьные команды.","2018-04-03","","",NA,NA
"4329","Кубок городов","","Международный синхронный турнир ""Кубок городов 2018"" ","2018-03-30 12:00:00","2018-04-02 20:00:00","4","12","","48","Синхрон","0",NA,"","2018-03-29","","http://kubgor.chgk.info/2018",NA,NA
"4671","17/03: Король vs Мерзляков","","Синхронный турнир по спортивному «Что? Где? Когда?» «17/03: Король vs Мерзляков»","2018-03-17 17:03:00","2018-03-21 17:03:00","3","12","","36","Синхрон","6",NA,"","2018-03-20","","",NA,NA
"4569","Умами","","Международный синхронный турнир ""Умами""","2018-03-09 19:00:00","2018-03-13 19:00:00","3","12","","36","Синхрон","7","3.5","для студенческих команд, школьные команды играют бесплатно ","2018-03-11","","",NA,NA
"4760","Весна в ЛЭТИ","Санкт-Петербург","""XVI международный фестиваль по интеллектуальным играм ""Весна в ЛЭТИ-2018""","2018-03-10 13:00:00","2018-03-11 18:00:00","5","15","","75","Обычный","2500",NA,"","","","https://vvl.eltech.ru/",NA,NA
"4334","Балтийский Берег. 4 игра","","Международный синхронный турнир Балтийский Берег - 2017/2018 - 4 игра ","2018-03-02 19:05:00","2018-03-06 19:00:00","3","12","","36","Синхрон","2.5","0","Если на площадке играет менее 4 команд - 3 EUR с команды за игру. Для студенческих команд - 1 EUR с команды за игру. Для школьных команд - бесплатно. Максимальная плата с игровой площадки за все пять игр Турнира - 275 EUR. ","2018-03-05","","http://www.znatoki.lv/portal/?cat=4",NA,NA
"4726","Синхрон Первенства Сибири","","Синхронный турнир XVII Первенства Сибири по интеллектуальным играм","2018-02-24 00:00:00","2018-02-28 00:00:00","3","12","","36","Синхрон","350","250","студентам. Школьники играют бесплатно.","2018-02-27","","http://nado-nsk.ru/persib/2018",NA,NA
"4413","Синхрон-lite. Выпуск XII","","Синхрон-lite. Выпуск XII","2018-02-23 18:45:00","2018-02-27 18:45:00","3","12","","36","Синхрон","4","0","молодежные и школьные команды","2018-02-26","","https://chgk-is.livejournal.com/",NA,NA
"4546","Два-Славянка","","Зеркало второго игрового дня V международного турнира по интеллектуальным играм ""Славянка""","2018-02-16 19:00:00","2018-02-20 19:00:00","3","12","","36","Синхрон","6","0","Школьная команда","2018-02-19","","",NA,NA
